Price,Close,High,Low,Open,Volume
Ticker,9983.T,9983.T,9983.T,9983.T,9983.T
Date,,,,,
2026-01-13,63820.0,65950.0,63400.0,65880.0,2123800
2026-01-14,65160.0,66500.0,64050.0,64590.0,2035200
2026-01-15,64010.0,65810.0,63720.0,65160.0,1543700
2026-01-16,62650.0,63460.0,62540.0,63040.0,1032200
2026-01-19,62300.0,62300.0,61480.0,61860.0,1126200
2026-01-20,63010.0,63230.0,62060.0,62800.0,1117400
2026-01-21,62170.0,62900.0,61650.0,62770.0,1233100
2026-01-22,60850.0,62100.0,60850.0,61990.0,1142200
2026-01-23,60500.0,61580.0,60250.0,61280.0,971000
2026-01-26,59500.0,59820.0,59000.0,59000.0,1022900
2026-01-27,59170.0,59600.0,58850.0,59520.0,823600
2026-01-28,58270.0,58650.0,57860.0,58500.0,946600
2026-01-29,58060.0,58460.0,57190.0,57680.0,1114100
2026-01-30,58800.0,59000.0,57570.0,59000.0,1038000
2026-02-02,60170.0,60450.0,59400.0,60230.0,1122100
2026-02-03,62020.0,62560.0,60820.0,61500.0,1393800
2026-02-04,61740.0,62090.0,60970.0,61400.0,884700
2026-02-05,63320.0,63870.0,62540.0,63120.0,1287000
2026-02-06,63500.0,63500.0,62120.0,63000.0,1074400
2026-02-09,67850.0,68980.0,66600.0,67950.0,2946400
2026-02-10,68510.0,69420.0,67700.0,67800.0,1523800
2026-02-12,68300.0,69950.0,68300.0,68500.0,955700
2026-02-13,69150.0,69380.0,66120.0,67480.0,2028200
